adjusted points,att bps,cost,def bps,event id,ga,gd,gf,home,mins,opponent,pas bps,player id,player name,points,position id,round,season,team id
5.0,2.0,,0.0,6.0,,,,0.0,90.0,DC,0.0,430.0,Gerso Fernandes,5.0,3.0,1.0,2017.0,
9.0,0.0,,2.0,4.0,,,,1.0,90.0,MIN,0.0,433.0,Lawrence Olum,9.0,3.0,1.0,2017.0,
5.0,1.0,,1.0,6.0,,,,0.0,90.0,DC,0.0,434.0,Ilie Sanchez,5.0,3.0,1.0,2017.0,
7.0,1.0,,3.0,6.0,,,,0.0,90.0,DC,0.0,435.0,Graham Zusi,7.0,3.0,1.0,2017.0,
4.0,2.0,,0.0,6.0,,,,0.0,90.0,DC,0.0,437.0,Dom Dwyer,4.0,4.0,1.0,2017.0,
10.0,0.0,,3.0,5.0,,,,0.0,90.0,RSL,0.0,445.0,Clint Irwin,10.0,1.0,1.0,2017.0,
7.0,0.0,,1.0,5.0,,,,0.0,90.0,RSL,0.0,447.0,Steven Beitashour,7.0,2.0,1.0,2017.0,
7.0,0.0,,1.0,5.0,,,,0.0,90.0,RSL,0.0,448.0,Nick Hagglund,7.0,2.0,1.0,2017.0,
11.0,0.0,,4.0,5.0,,,,0.0,90.0,RSL,0.0,449.0,Drew Moor,11.0,2.0,1.0,2017.0,
8.0,0.0,,1.0,5.0,,,,0.0,90.0,RSL,0.0,451.0,Justin Morrow,8.0,2.0,1.0,2017.0,
11.0,0.0,,4.0,5.0,,,,0.0,90.0,RSL,0.0,452.0,Eriq Zavaleta,11.0,2.0,1.0,2017.0,
5.0,0.0,,2.0,5.0,,,,0.0,90.0,RSL,0.0,453.0,Michael  Bradley,5.0,3.0,1.0,2017.0,
5.0,1.0,,1.0,5.0,,,,0.0,79.0,RSL,0.0,456.0,Armando Cooper,5.0,3.0,1.0,2017.0,
3.0,0.0,,0.0,5.0,,,,0.0,60.0,RSL,0.0,459.0,Jonathon Osorio,3.0,3.0,1.0,2017.0,
2.0,1.0,,0.0,5.0,,,,0.0,90.0,RSL,0.0,460.0,Jozy Altidore,2.0,4.0,1.0,2017.0,
3.0,2.0,,0.0,5.0,,,,0.0,90.0,RSL,0.0,462.0,Sebastian Giovinco,1.0,4.0,1.0,2017.0,
9.0,0.0,,2.0,11.0,,,,1.0,90.0,PHI,0.0,466.0,David Ousted,9.0,1.0,1.0,2017.0,
8.0,0.0,,1.0,11.0,,,,1.0,90.0,PHI,0.0,469.0,Alphonso Davies,8.0,2.0,1.0,2017.0,
11.0,0.0,,4.0,11.0,,,,1.0,90.0,PHI,0.0,471.0,Christian Dean,11.0,2.0,1.0,2017.0,
7.0,0.0,,0.0,11.0,,,,1.0,90.0,PHI,0.0,473.0,Jordan Harvey,7.0,2.0,1.0,2017.0,
10.0,0.0,,2.0,11.0,,,,1.0,90.0,PHI,1.0,475.0,Tim Parker,10.0,2.0,1.0,2017.0,
8.0,0.0,,1.0,11.0,,,,1.0,90.0,PHI,0.0,476.0,Sheanon Williams,8.0,2.0,1.0,2017.0,
1.0,0.0,,0.0,11.0,,,,1.0,58.0,PHI,0.0,482.0,Erik Hurtado,1.0,3.0,1.0,2017.0,
4.0,0.0,,1.0,11.0,,,,1.0,90.0,PHI,0.0,483.0,Andrew Jacobson,4.0,3.0,1.0,2017.0,
4.0,0.0,,2.0,11.0,,,,1.0,90.0,PHI,0.0,484.0,Matias Laba,4.0,3.0,1.0,2017.0,
3.0,0.0,,0.0,11.0,,,,1.0,76.0,PHI,0.0,487.0,Cristian Techera,3.0,3.0,1.0,2017.0,
7.0,1.0,,1.0,8.0,,,,1.0,80.0,NYC,0.0,490.0,Giles Barnes,7.0,4.0,1.0,2017.0,
1.0,0.0,,0.0,11.0,,,,1.0,58.0,PHI,0.0,492.0,Kekuta Manneh,1.0,4.0,1.0,2017.0,
4.0,0.0,,3.0,10.0,,,,1.0,90.0,NY,0.0,493.0,Alec Kann,4.0,1.0,1.0,2017.0,
3.0,1.0,,1.0,10.0,,,,1.0,90.0,NY,0.0,497.0,Greg Garza,3.0,2.0,1.0,2017.0,
3.0,0.0,,2.0,10.0,,,,1.0,90.0,NY,0.0,499.0,Michael Parkhurst,3.0,2.0,1.0,2017.0,
7.0,1.0,,3.0,10.0,,,,1.0,80.0,NY,1.0,501.0,Leandro Gonzalez Pirez,7.0,2.0,1.0,2017.0,
6.0,1.0,,1.0,10.0,,,,1.0,90.0,NY,0.0,502.0,Tyrone Mears,6.0,2.0,1.0,2017.0,
3.0,0.0,,1.0,10.0,,,,1.0,90.0,NY,0.0,503.0,Miguel Almiron,3.0,3.0,1.0,2017.0,
10.0,1.0,,2.0,10.0,,,,1.0,90.0,NY,0.0,504.0,Yamil Asad,10.0,3.0,1.0,2017.0,
3.0,0.0,,1.0,10.0,,,,1.0,80.0,NY,0.0,507.0,Julian Gressel,3.0,3.0,1.0,2017.0,
3.0,0.0,,1.0,10.0,,,,1.0,84.0,NY,0.0,516.0,Hector Villalba,3.0,4.0,1.0,2017.0,
2.0,0.0,,2.0,4.0,,,,0.0,90.0,POR,0.0,520.0,John Alvbage,2.0,1.0,1.0,2017.0,
3.0,0.0,,3.0,4.0,,,,0.0,90.0,POR,0.0,521.0,Francisco Calvo,3.0,2.0,1.0,2017.0,
2.0,0.0,,2.0,4.0,,,,0.0,90.0,POR,0.0,522.0,Justin Davis,2.0,2.0,1.0,2017.0,
1.0,0.0,,0.0,4.0,,,,0.0,90.0,POR,1.0,523.0,Vadim Demidov,1.0,2.0,1.0,2017.0,
2.0,1.0,,1.0,4.0,,,,0.0,90.0,POR,0.0,527.0,Jermaine Taylor,2.0,2.0,1.0,2017.0,
3.0,0.0,,0.0,4.0,,,,0.0,90.0,POR,1.0,531.0,Mohammed Saied,3.0,3.0,1.0,2017.0,
4.0,0.0,,0.0,4.0,,,,0.0,90.0,POR,0.0,532.0,Johan Venegas,4.0,3.0,1.0,2017.0,
3.0,0.0,,0.0,4.0,,,,0.0,68.0,POR,1.0,534.0,Rasmus Schuller,3.0,3.0,1.0,2017.0,
4.0,1.0,,0.0,4.0,,,,0.0,90.0,POR,1.0,535.0,Kevin Molino,4.0,3.0,1.0,2017.0,
3.0,0.0,,1.0,4.0,,,,0.0,90.0,POR,0.0,536.0,Collen Warner,3.0,3.0,1.0,2017.0,
8.0,1.0,,1.0,4.0,,,,1.0,75.0,MIN,0.0,541.0,Sebastian Blanco,8.0,3.0,1.0,2017.0,
2.0,1.0,,0.0,10.0,,,,1.0,90.0,NY,0.0,542.0,Josef Martinez,2.0,4.0,1.0,2017.0,
9.0,0.0,,2.0,9.0,,,,1.0,90.0,MTL,0.0,544.0,Florian Jungwirth,9.0,2.0,1.0,2017.0,
7.0,1.0,,1.0,11.0,,,,0.0,90.0,VAN,2.0,545.0,Haris Medunjanin,7.0,3.0,1.0,2017.0,
4.0,0.0,,1.0,10.0,,,,1.0,87.0,NY,1.0,548.0,Carlos Carmona,1.0,3.0,1.0,2017.0,
3.0,0.0,,1.0,3.0,,,,0.0,90.0,LA,0.0,551.0,Hernan Grana,3.0,2.0,1.0,2017.0,
3.0,0.0,,1.0,4.0,,,,0.0,87.0,POR,0.0,553.0,Bashkim Kadrii,3.0,3.0,1.0,2017.0,
4.0,0.0,,2.0,7.0,,,,1.0,90.0,SEA,0.0,556.0,DaMarcus Beasley,4.0,2.0,1.0,2017.0,
4.0,0.0,,1.0,8.0,,,,0.0,90.0,ORL,1.0,559.0,Maximiliano Moralez,4.0,3.0,1.0,2017.0,
2.0,0.0,,1.0,8.0,,,,0.0,63.0,ORL,0.0,562.0,Rodney Wallace,2.0,3.0,1.0,2017.0,
7.0,0.0,,5.0,10.0,,,,0.0,90.0,ATL,0.0,574.0,Aaron Long,7.0,2.0,1.0,2017.0,
4.0,0.0,,2.0,2.0,,,,0.0,90.0,CLB,0.0,1.0,Jorge Rodrigo Bava,4.0,1.0,1.0,2017.0,
3.0,0.0,,1.0,2.0,,,,0.0,90.0,CLB,0.0,5.0,Michael Harrington,3.0,2.0,1.0,2017.0,
4.0,0.0,,1.0,2.0,,,,0.0,90.0,CLB,1.0,6.0,Johan Kappelhof,4.0,2.0,1.0,2017.0,
6.0,0.0,,3.0,2.0,,,,0.0,90.0,CLB,1.0,7.0,Joao Meira,6.0,2.0,1.0,2017.0,
4.0,0.0,,2.0,2.0,,,,0.0,90.0,CLB,0.0,8.0,Brandon Vincent,4.0,2.0,1.0,2017.0,
4.0,0.0,,2.0,2.0,,,,0.0,73.0,CLB,0.0,9.0,Arturo Alvarez,4.0,3.0,1.0,2017.0,
1.0,0.0,,0.0,2.0,,,,0.0,90.0,CLB,0.0,12.0,John Goossens,1.0,3.0,1.0,2017.0,
