event_id,home,opp_adjusted_points,opp_aps,opp_ass,opp_att_bps,opp_att_points,opp_bc,opp_blk,opp_br,opp_cl,opp_crs,opp_def_bps,opp_def_points,opp_elg,opp_gls,opp_intc,opp_kp,opp_og,opp_oga,opp_pas_bps,opp_pcp,opp_pe,opp_pm,opp_ps,opp_pss,opp_rc,opp_sh,opp_sv,opp_tck,opp_total_bps,opp_wf,opp_yc,opponent,round,season,team,team_adjusted_points,team_aps,team_ass,team_att_bps,team_att_points,team_bc,team_blk,team_br,team_cl,team_crs,team_def_bps,team_def_points,team_elg,team_gls,team_intc,team_kp,team_og,team_oga,team_pas_bps,team_pcp,team_pe,team_pm,team_ps,team_pss,team_rc,team_sh,team_sv,team_tck,team_total_bps,team_wf,team_yc
16,1,38.0,107.0,1.0,0.0,13.0,0.0,4.0,35.0,33.0,1.0,9.0,3.0,0.0,2.0,18.0,2.0,0.0,0.0,0.0,0.5879120879120879,0.0,0.0,0.0,182.0,1.0,4.0,4.0,19.0,9.0,11.0,2.0,VAN,2,2017,SJ,65.0,553.0,4.0,2.0,30.0,0.0,0.0,51.0,11.0,4.0,7.0,2.0,1.0,3.0,12.0,14.0,0.0,0.0,10.0,0.8667711598746082,0.0,0.0,0.0,638.0,0.0,21.0,0.0,16.0,19.0,14.0,1.0
16,0,65.0,553.0,4.0,2.0,30.0,0.0,0.0,51.0,11.0,4.0,7.0,2.0,1.0,3.0,12.0,14.0,0.0,0.0,10.0,0.8667711598746082,0.0,0.0,0.0,638.0,0.0,21.0,0.0,16.0,19.0,14.0,1.0,SJ,2,2017,VAN,38.0,107.0,1.0,0.0,13.0,0.0,4.0,35.0,33.0,1.0,9.0,3.0,0.0,2.0,18.0,2.0,0.0,0.0,0.0,0.5879120879120879,0.0,0.0,0.0,182.0,1.0,4.0,4.0,19.0,9.0,11.0,2.0
17,0,57.0,262.0,2.0,1.0,22.0,1.0,3.0,55.0,29.0,3.0,8.0,9.0,0.0,3.0,20.0,5.0,0.0,0.0,2.0,0.7507163323782235,0.0,0.0,0.0,349.0,0.0,7.0,3.0,8.0,11.0,7.0,1.0,HOU,2,2017,CLB,47.0,430.0,2.0,6.0,17.0,3.0,2.0,60.0,12.0,5.0,8.0,3.0,1.0,1.0,15.0,12.0,0.0,0.0,6.0,0.8221797323135756,0.0,0.0,0.0,523.0,1.0,14.0,1.0,14.0,20.0,11.0,2.0
17,1,47.0,430.0,2.0,6.0,17.0,3.0,2.0,60.0,12.0,5.0,8.0,3.0,1.0,1.0,15.0,12.0,0.0,0.0,6.0,0.8221797323135756,0.0,0.0,0.0,523.0,1.0,14.0,1.0,14.0,20.0,11.0,2.0,CLB,2,2017,HOU,57.0,262.0,2.0,1.0,22.0,1.0,3.0,55.0,29.0,3.0,8.0,9.0,0.0,3.0,20.0,5.0,0.0,0.0,2.0,0.7507163323782235,0.0,0.0,0.0,349.0,0.0,7.0,3.0,8.0,11.0,7.0,1.0
18,0,28.0,234.0,0.0,5.0,10.0,0.0,0.0,56.0,8.0,6.0,11.0,-3.0,0.0,1.0,28.0,7.0,0.0,0.0,0.0,0.6464088397790055,1.0,0.0,0.0,362.0,0.0,17.0,2.0,22.0,16.0,13.0,3.0,MIN,2,2017,ATL,89.0,251.0,5.0,3.0,48.0,3.0,4.0,65.0,29.0,2.0,17.0,17.0,0.0,6.0,18.0,8.0,0.0,0.0,1.0,0.6435897435897436,0.0,0.0,0.0,390.0,0.0,10.0,5.0,29.0,21.0,13.0,2.0
18,1,89.0,251.0,5.0,3.0,48.0,3.0,4.0,65.0,29.0,2.0,17.0,17.0,0.0,6.0,18.0,8.0,0.0,0.0,1.0,0.6435897435897436,0.0,0.0,0.0,390.0,0.0,10.0,5.0,29.0,21.0,13.0,2.0,ATL,2,2017,MIN,28.0,234.0,0.0,5.0,10.0,0.0,0.0,56.0,8.0,6.0,11.0,-3.0,0.0,1.0,28.0,7.0,0.0,0.0,0.0,0.6464088397790055,1.0,0.0,0.0,362.0,0.0,17.0,2.0,22.0,16.0,13.0,3.0
19,1,46.0,459.0,0.0,5.0,15.0,0.0,1.0,60.0,8.0,6.0,7.0,3.0,0.0,2.0,7.0,10.0,0.0,0.0,4.0,0.8375912408759124,1.0,0.0,0.0,548.0,0.0,15.0,3.0,18.0,16.0,13.0,0.0,SEA,2,2017,MTL,52.0,352.0,3.0,2.0,21.0,2.0,4.0,57.0,10.0,5.0,11.0,7.0,0.0,2.0,26.0,7.0,0.0,0.0,2.0,0.7927927927927928,0.0,0.0,0.0,444.0,0.0,8.0,2.0,22.0,15.0,4.0,2.0
19,0,52.0,352.0,3.0,2.0,21.0,2.0,4.0,57.0,10.0,5.0,11.0,7.0,0.0,2.0,26.0,7.0,0.0,0.0,2.0,0.7927927927927928,0.0,0.0,0.0,444.0,0.0,8.0,2.0,22.0,15.0,4.0,2.0,MTL,2,2017,SEA,46.0,459.0,0.0,5.0,15.0,0.0,1.0,60.0,8.0,6.0,7.0,3.0,0.0,2.0,7.0,10.0,0.0,0.0,4.0,0.8375912408759124,1.0,0.0,0.0,548.0,0.0,15.0,3.0,18.0,16.0,13.0,0.0
20,0,105.0,468.0,4.0,2.0,34.0,0.0,1.0,82.0,16.0,3.0,14.0,44.0,0.0,4.0,18.0,6.0,0.0,0.0,2.0,0.7892074198988196,0.0,0.0,0.0,593.0,0.0,9.0,4.0,22.0,18.0,19.0,0.0,NYC,2,2017,DC,23.0,275.0,0.0,3.0,3.0,0.0,1.0,77.0,14.0,2.0,9.0,1.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,375.0,0.0,13.0,1.0,21.0,12.0,15.0,5.0
20,1,23.0,275.0,0.0,3.0,3.0,0.0,1.0,77.0,14.0,2.0,9.0,1.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,375.0,0.0,13.0,1.0,21.0,12.0,15.0,5.0,DC,2,2017,NYC,105.0,468.0,4.0,2.0,34.0,0.0,1.0,82.0,16.0,3.0,14.0,44.0,0.0,4.0,18.0,6.0,0.0,0.0,2.0,0.7892074198988196,0.0,0.0,0.0,593.0,0.0,9.0,4.0,22.0,18.0,19.0,0.0
