player,points,position id,price,last 4 avg,last 4,last 2 avg,(price / 1.5) * 5,need
Justin Morrow,45,2,6.2,4.0,16.0,4.5,20.666666666666668,4.666666666666668
Collen Warner,35,3,5.7,3.75,15.0,4.0,19.0,4.0
Luis Gil,12,3,5.0,1.75,7.0,1.5,16.666666666666668,9.666666666666668
Chris Schuler,20,2,4.5,4.25,17.0,2.5,15.0,-2.0
Felipe Gutierrez,55,3,8.5,2.25,9.0,3.0,28.333333333333332,19.333333333333332
Juan Agudelo,60,3,7.5,5.25,21.0,7.0,25.0,4.0
Albert Rusnak,121,3,9.7,5.25,21.0,4.0,32.333333333333336,11.333333333333336
Daniel Royer,86,3,8.5,7.5,30.0,10.0,28.333333333333332,-1.6666666666666679
Marc Rzatkowksi,77,3,7.5,6.25,25.0,7.0,25.0,0.0
Romain Alessandrini,119,3,10.5,9.25,37.0,8.5,35.0,-2.0
Ilie Sanchez,164,3,9.0,6.25,25.0,4.5,30.0,5.0
Johan Kappelhof,59,2,5.0,1.0,4.0,1.5,16.666666666666668,12.666666666666668
Tim Melia,93,1,6.5,4.75,19.0,6.5,21.666666666666668,2.666666666666668
Nicolas Mezquida,39,3,6.0,3.5,14.0,4.5,20.0,6.0
Nicolas Hasler,45,3,5.1,3.0,12.0,2.0,17.0,5.0
Sebastian Lletget,86,3,7.0,2.25,9.0,2.5,23.333333333333332,14.333333333333332
Doneil Henry,32,2,6.0,4.0,16.0,3.0,20.0,4.0
Alexander Ring,133,3,8.6,5.25,21.0,6.0,28.666666666666668,7.666666666666668
Valeri Qazaishvili,121,3,8.5,7.0,28.0,10.0,28.333333333333332,0.33333333333333215
Rudy Camacho,59,2,7.0,4.75,19.0,4.5,23.333333333333332,4.333333333333332
Jon Kempin,9,1,4.5,3.75,15.0,3.5,15.0,0.0
Cristian Lobato,31,3,6.0,4.25,17.0,5.5,20.0,3.0
Victor Rodriguez,37,3,7.0,4.75,19.0,4.5,23.333333333333332,4.333333333333332
Pedro Santos,98,3,7.5,5.75,23.0,5.0,25.0,2.0
Russell Teibert,43,3,5.1,3.0,12.0,4.5,17.0,5.0
Jeff Attinella,70,1,6.5,6.0,24.0,6.0,21.666666666666668,-2.333333333333332
Justin Meram,57,3,7.5,2.0,8.0,1.5,25.0,17.0
Josh Williams,63,2,5.5,1.25,5.0,1.0,18.333333333333332,13.333333333333332
David Bingham,85,1,5.4,3.25,13.0,2.5,18.0,5.0
Hector Jimenez,38,2,5.0,1.0,4.0,0.5,16.666666666666668,12.666666666666668
Fanendo Adi,42,4,7.5,2.5,10.0,3.5,25.0,15.0
Jalil Anibaba,71,2,5.5,1.25,5.0,2.0,18.333333333333332,13.333333333333332
Zarek Valentin,86,2,6.5,6.25,25.0,6.5,21.666666666666668,-3.333333333333332
Servando Carrasco,49,3,5.4,3.75,15.0,1.5,18.0,3.0
Darlington Nagbe,81,3,7.0,3.25,13.0,2.5,23.333333333333332,10.333333333333332
Will Bruin,80,4,7.0,3.5,14.0,5.5,23.333333333333332,9.333333333333332
Zac MacMath,6,1,5.0,3.5,14.0,3.5,16.666666666666668,2.666666666666668
Perry Kitchen,86,3,6.0,2.0,8.0,1.5,20.0,12.0
Joao Plata,92,3,10.0,9.25,37.0,6.5,33.333333333333336,-3.6666666666666643
Victor Ulloa,49,3,6.0,4.25,17.0,2.0,20.0,3.0
Diego Fagundez,129,3,10.0,7.25,29.0,4.0,33.333333333333336,4.333333333333336
Jack McBean,39,4,5.3,3.75,15.0,3.5,17.666666666666668,2.666666666666668
Jake Gleeson,7,1,5.0,2.0,8.0,1.5,16.666666666666668,8.666666666666668
Richard Sanchez,47,1,5.0,1.75,7.0,2.5,16.666666666666668,9.666666666666668
Joe Willis,54,1,5.0,4.5,18.0,3.5,16.666666666666668,-1.3333333333333321
Kevin Ellis,77,2,5.0,1.25,5.0,1.5,16.666666666666668,11.666666666666668
C.J. Sapong,55,4,6.5,3.0,12.0,1.5,21.666666666666668,9.666666666666668
Michael Boxall,69,2,4.8,2.5,10.0,1.5,16.0,6.0
Mohammed Abu,12,3,5.0,2.5,10.0,3.0,16.666666666666668,6.666666666666668
Joe Bendik,33,1,5.0,2.5,10.0,2.5,16.666666666666668,6.666666666666668
Ashtone Morgan,28,2,4.5,1.25,5.0,2.0,15.0,10.0
Jimmy Maurer,32,1,4.5,2.25,9.0,1.0,15.0,6.0
Leandro Gonzalez Pirez,88,2,6.2,5.5,22.0,3.5,20.666666666666668,-1.3333333333333321
Donny Toia,12,2,5.0,2.5,10.0,3.0,16.666666666666668,6.666666666666668
Diego Chara,82,3,7.5,5.0,20.0,6.0,25.0,5.0
Shawn Barry,5,2,4.5,2.5,10.0,2.5,15.0,5.0
Maximiliano Urruti,102,4,8.0,3.75,15.0,4.0,26.666666666666668,11.666666666666668
Yoshi Yotun,115,3,10.0,7.75,31.0,10.0,33.333333333333336,2.3333333333333357
Raul Ruidiaz,17,4,10.0,4.25,17.0,4.5,33.333333333333336,16.333333333333336
Andres Flores,48,3,5.5,2.0,8.0,2.5,18.333333333333332,10.333333333333332
Harold Cummings,61,2,5.5,5.5,22.0,7.5,18.333333333333332,-3.666666666666668
Adolfo Machado,56,2,5.4,2.0,8.0,3.0,18.0,10.0
Anibal Godoy,90,3,7.7,4.5,18.0,6.5,25.666666666666668,7.666666666666668
Francisco Calvo,79,2,6.5,3.75,15.0,2.0,21.666666666666668,6.666666666666668
Diego Rubio,38,4,7.2,4.5,18.0,5.5,24.0,6.0
Oriol Rosell,47,3,7.0,3.75,15.0,3.5,23.333333333333332,8.333333333333332
Bernie Ibini,12,3,5.0,2.75,11.0,3.0,16.666666666666668,5.666666666666668
Adam Henley,15,2,4.5,1.0,4.0,1.0,15.0,11.0
Yohan Croizet,67,3,7.0,2.25,9.0,2.0,23.333333333333332,14.333333333333332
Wilfried Zahibo,94,3,6.3,3.25,13.0,3.0,21.0,8.0
Lawrence Olum,45,3,5.8,4.0,16.0,4.0,19.333333333333332,3.333333333333332
Bryan Meredith,3,1,4.5,3.0,12.0,3.0,15.0,3.0
Johan Blomberg,57,3,5.8,3.5,14.0,1.5,19.333333333333332,5.333333333333332
Evan Bush,103,1,6.4,4.75,19.0,4.0,21.333333333333332,2.333333333333332
Gerso Fernandes,43,4,5.7,4.25,17.0,4.5,19.0,2.0
Connor Lade,70,2,4.6,1.25,5.0,1.0,15.333333333333334,10.333333333333334
Matt Lampson,13,1,5.0,3.0,12.0,4.0,16.666666666666668,4.666666666666668
Greg Garza,40,2,6.0,3.5,14.0,3.5,20.0,6.0
RJ Allen,47,2,4.5,2.0,8.0,2.5,15.0,7.0
Warren Creavalle,37,3,5.1,2.25,9.0,3.0,17.0,8.0
Nick DeLeon,42,2,5.0,3.75,15.0,2.5,16.666666666666668,1.6666666666666679
Ethan Finlay,32,3,8.0,4.75,19.0,1.5,26.666666666666668,7.666666666666668
Matt Hedges,94,2,7.4,5.5,22.0,4.0,24.666666666666668,2.666666666666668
Miguel Ibarra,112,3,8.5,5.75,23.0,3.5,28.333333333333332,5.333333333333332
Calum Mallace,6,3,4.5,2.0,8.0,2.0,15.0,7.0
Enzo Martinez,59,3,5.5,3.5,14.0,3.5,18.333333333333332,4.333333333333332
Darren Mattocks,65,4,7.0,1.25,5.0,1.0,23.333333333333332,18.333333333333332
Ryan Meara,16,1,4.5,6.0,24.0,6.0,15.0,-9.0
Kelyn Rowe,50,3,6.5,2.5,10.0,2.5,21.666666666666668,11.666666666666668
Brian Rowe,13,1,5.0,2.75,11.0,2.5,16.666666666666668,5.666666666666668
Luis Silva,43,4,5.5,4.0,16.0,3.5,18.333333333333332,2.333333333333332
Andrew Wenger,44,3,6.0,2.0,8.0,2.0,20.0,12.0
