cost,event_id,home,opponent,player_id,player_name,position_id,round,season,team,dgw,alt_player_id,unique_round,dataset
9.0,1040184,0,CLB,56491.0,Nicolas Gaitan,3.0,26,2019,CHI,0,56491,94.0,live
4.0,1040184,0,CLB,234219.0,Jeremiah Gutjahr,2.0,26,2019,CHI,0,234219,94.0,live
4.6,1040184,0,CLB,221475.0,Fabian Herbers,3.0,26,2019,CHI,0,221475,94.0,live
7.6,1040184,0,CLB,86898.0,Johan Kappelhof,2.0,26,2019,CHI,0,86898,94.0,live
7.6,1040184,0,CLB,83055.0,Aleksandar Katai,3.0,26,2019,CHI,0,83055,94.0,live
7.1,1040184,0,CLB,49761.0,Kenneth Kronholm,1.0,26,2019,CHI,0,49761,94.0,live
4.5,1040192,1,RSL,151534.0,Aljaz Ivacic,1.0,26,2019,POR,0,151534,94.0,live
4.0,1040184,0,CLB,234193.0,Grant Lillard,2.0,26,2019,CHI,0,234193,94.0,live
7.3,1040184,0,CLB,41626.0,Dax McCarty,3.0,26,2019,CHI,0,41626,94.0,live
5.1,1040184,0,CLB,246874.0,Djordje Mihailovic,3.0,26,2019,CHI,0,246874,94.0,live
4.0,1040184,0,CLB,148707.0,Amando Moreno,3.0,26,2019,CHI,0,148707,94.0,live
7.9,1040184,0,CLB,82064.0,Nemanja Nikolic,4.0,26,2019,CHI,0,82064,94.0,live
4.7,1040184,0,CLB,52629.0,David Ousted,1.0,26,2019,CHI,0,52629,94.0,live
4.0,1040184,0,CLB,426473.0,Andre Reynolds II,2.0,26,2019,CHI,0,426473,94.0,live
4.0,1040184,0,CLB,95298.0,Richard Sanchez,1.0,26,2019,CHI,0,95298,94.0,live
6.5,1040184,0,CLB,95321.0,C.J. Sapong,4.0,26,2019,CHI,0,95321,94.0,live
7.4,1040184,0,CLB,15208.0,Bastian Schweinsteiger,2.0,26,2019,CHI,0,15208,94.0,live
4.0,1040184,0,CLB,471798.0,Gabriel Slonina,1.0,26,2019,CHI,0,471798,94.0,live
5.0,1040184,0,CLB,226637.0,Cristian Martinez,3.0,26,2019,CHI,0,226637,94.0,live
9.7,1040193,1,ORL,88940.0,Vako,3.0,26,2019,SJ,0,88940,94.0,live
5.0,1040185,0,DAL,474183.0,Frankie Amaya,3.0,26,2019,CIN,0,474183,94.0,live
4.5,1040193,1,ORL,163523.0,Jimmy Ockford,2.0,26,2019,SJ,0,163523,94.0,live
5.0,1040184,1,CHI,33823.0,Ricardo Clark,3.0,26,2019,CLB,0,33823,94.0,live
4.0,1040184,1,CHI,234406.0,Alex Crognale,2.0,26,2019,CLB,0,234406,94.0,live
5.4,1040184,1,CHI,227232.0,Artur,3.0,26,2019,CLB,0,227232,94.0,live
6.9,1040184,1,CHI,475922.0,Luis Diaz,3.0,26,2019,CLB,0,475922,94.0,live
4.8,1040184,1,CHI,121332.0,Waylon Francis,2.0,26,2019,CLB,0,121332,94.0,live
5.5,1040184,1,CHI,77756.0,David Guzman,3.0,26,2019,CLB,0,77756,94.0,live
4.0,1040184,1,CHI,113002.0,Jordan Hamilton,4.0,26,2019,CLB,0,113002,94.0,live
9.0,1040184,1,CHI,47681.0,Federico Higuain,3.0,26,2019,CLB,0,47681,94.0,live
4.9,1040184,1,CHI,94934.0,Hector Jimenez,2.0,26,2019,CLB,0,94934,94.0,live
4.1,1040184,1,CHI,425248.0,Aboubacar Keita,2.0,26,2019,CLB,0,425248,94.0,live
4.4,1040184,1,CHI,90644.0,Jon Kempin,1.0,26,2019,CLB,0,90644,94.0,live
4.0,1040184,1,CHI,442446.0,Ben Lundgaard,1.0,26,2019,CLB,0,442446,94.0,live
4.6,1040184,1,CHI,234725.0,Connor Maloney,2.0,26,2019,CLB,0,234725,94.0,live
5.3,1040184,1,CHI,66905.0,Jonathan Mensah,2.0,26,2019,CLB,0,66905,94.0,live
7.3,1040184,1,CHI,106264.0,Youness Mokhtar,3.0,26,2019,CLB,0,106264,94.0,live
4.5,1040184,1,CHI,443538.0,Edward Opoku,3.0,26,2019,CLB,0,443538,94.0,live
4.4,1040184,1,CHI,52456.0,Eloy Room,1.0,26,2019,CLB,0,52456,94.0,live
10.5,1040184,1,CHI,92202.0,Pedro Santos,3.0,26,2019,CLB,0,92202,94.0,live
4.1,1040184,1,CHI,60716.0,Gaston Sauro,2.0,26,2019,CLB,0,60716,94.0,live
4.4,1040184,1,CHI,179062.0,Eduardo Sosa,3.0,26,2019,CLB,0,179062,94.0,live
6.3,1040184,1,CHI,164484.0,Zack Steffen,1.0,26,2019,CLB,0,164484,94.0,live
5.0,1040184,1,CHI,422981.0,Luis Argudo,3.0,26,2019,CLB,0,422981,94.0,live
8.3,1040184,1,CHI,148995.0,Wil Trapp,3.0,26,2019,CLB,0,148995,94.0,live
5.8,1040184,1,CHI,49483.0,Harrison Afful,2.0,26,2019,CLB,0,49483,94.0,live
4.5,1040190,0,NY,210151.0,Deklan Wynne,2.0,26,2019,COL,0,210151,94.0,live
5.1,1040190,0,NY,15337.0,Tim Howard,1.0,26,2019,COL,0,15337,94.0,live
4.0,1040190,0,NY,250677.0,Matt Hundley,4.0,26,2019,COL,0,250677,94.0,live
4.1,1040190,0,NY,118738.0,Clint Irwin,1.0,26,2019,COL,0,118738,94.0,live
5.0,1040190,0,NY,249537.0,Niki Jackson,4.0,26,2019,COL,0,249537,94.0,live
7.7,1040190,0,NY,41493.0,Kei Kamara,4.0,26,2019,COL,0,41493,94.0,live
6.9,1040190,0,NY,213295.0,Jonathan Lewis,3.0,26,2019,COL,0,213295,94.0,live
4.7,1040190,0,NY,87984.0,Nicolas Mezquida,3.0,26,2019,COL,0,87984,94.0,live
5.7,1040190,0,NY,132134.0,Sam Nicholson,3.0,26,2019,COL,0,132134,94.0,live
4.5,1040190,0,NY,151935.0,Kofi Opare,2.0,26,2019,COL,0,151935,94.0,live
8.5,1040190,0,NY,114041.0,Jack Price,3.0,26,2019,COL,0,114041,94.0,live
4.5,1040190,0,NY,226305.0,Sam Raben,2.0,26,2019,COL,0,226305,94.0,live
4.0,1040190,0,NY,224029.0,Andre Rawls,1.0,26,2019,COL,0,224029,94.0,live
5.3,1040190,0,NY,127541.0,Keegan Rosenberry,2.0,26,2019,COL,0,127541,94.0,live
9.9,1040190,0,NY,102208.0,Diego Rubio,4.0,26,2019,COL,0,102208,94.0,live
4.0,1040190,0,NY,219603.0,Abdul Rwatubyaye,2.0,26,2019,COL,0,219603,94.0,live
4.8,1040190,0,NY,151954.0,Dillon Serna,3.0,26,2019,COL,0,151954,94.0,live
5.8,1040190,0,NY,234297.0,Andre Shinyashiki,4.0,26,2019,COL,0,234297,94.0,live
4.5,1040190,0,NY,202407.0,Axel Sjoberg,2.0,26,2019,COL,0,202407,94.0,live
4.2,1040190,0,NY,45099.0,Tommy Smith,2.0,26,2019,COL,0,45099,94.0,live
4.0,1040190,0,NY,224823.0,Sam Vines,2.0,26,2019,COL,0,224823,94.0,live
5.6,1040190,0,NY,60490.0,Danny Wilson,3.0,26,2019,COL,0,60490,94.0,live
4.6,1040184,1,CHI,126174.0,David Accam,3.0,26,2019,CLB,0,126174,94.0,live
5.0,1040190,0,NY,41921.0,Shkelzen Gashi,4.0,26,2019,COL,0,41921,94.0,live
5.5,1040184,1,CHI,222820.0,Milton Valenzuela,2.0,26,2019,CLB,0,222820,94.0,live
4.0,1040184,1,CHI,423069.0,JJ Williams,4.0,26,2019,CLB,0,423069,94.0,live
5.5,1040185,1,CIN,69168.0,Zdenek Ondrasek,4.0,26,2019,DAL,0,69168,94.0,live
4.0,1040185,1,CIN,439742.0,Ricardo Pepi,4.0,26,2019,DAL,0,439742,94.0,live
7.9,1040185,1,CIN,224377.0,Paxton Pomykal,3.0,26,2019,DAL,0,224377,94.0,live
4.0,1040185,1,CIN,223353.0,Bryan Reynolds,2.0,26,2019,DAL,0,223353,94.0,live
4.5,1040185,1,CIN,426630.0,Thomas Roberts,3.0,26,2019,DAL,0,426630,94.0,live
4.0,1040185,1,CIN,437110.0,Dante Sealy,3.0,26,2019,DAL,0,437110,94.0,live
5.4,1040185,1,CIN,224382.0,Brandon Servania,3.0,26,2019,DAL,0,224382,94.0,live
4.5,1040185,1,CIN,443009.0,Ema Twumasi,3.0,26,2019,DAL,0,443009,94.0,live
8.6,1040185,1,CIN,18529.0,Reto Ziegler,2.0,26,2019,DAL,0,18529,94.0,live
4.0,1040185,1,CIN,152268.0,Kyle Zobeck,1.0,26,2019,DAL,0,152268,94.0,live
5.1,1040193,0,SJ,220877.0,Danilo Acosta,2.0,26,2019,ORL,0,220877,94.0,live
6.4,1040193,0,SJ,177947.0,Tesho Akindele,4.0,26,2019,ORL,0,177947,94.0,live
9.2,1040193,0,SJ,38530.0,Nani,3.0,26,2019,ORL,0,38530,94.0,live
6.3,1040193,0,SJ,170062.0,Carlos Ascues,2.0,26,2019,ORL,0,170062,94.0,live
4.1,1040193,0,SJ,183764.0,Robinho,3.0,26,2019,ORL,0,183764,94.0,live
5.5,1040193,0,SJ,217788.0,Josue Colman,3.0,26,2019,ORL,0,217788,94.0,live
5.0,1040193,0,SJ,176403.0,Pierre Da Silva,3.0,26,2019,ORL,0,176403,94.0,live
4.3,1040193,0,SJ,152281.0,Alex De John,2.0,26,2019,ORL,0,152281,94.0,live
5.8,1040193,0,SJ,60318.0,Dom Dwyer,4.0,26,2019,ORL,0,60318,94.0,live
6.8,1040193,0,SJ,246099.0,Ruan,2.0,26,2019,ORL,0,246099,94.0,live
4.5,1040193,0,SJ,210841.0,Adam Grinwis,1.0,26,2019,ORL,0,210841,94.0,live
4.0,1040185,1,CIN,200784.0,John Nelson,2.0,26,2019,DAL,0,200784,94.0,live
4.5,1040184,1,CHI,474156.0,JJ Williams,4.0,26,2019,CLB,0,474156,94.0,live
6.7,1040185,1,CIN,225030.0,Santiago Mosquera,3.0,26,2019,DAL,0,225030,94.0,live
4.5,1040185,1,CIN,95778.0,Jimmy Maurer,1.0,26,2019,DAL,0,95778,94.0,live
6.0,1040184,1,CHI,94479.0,Josh Williams,2.0,26,2019,CLB,0,94479,94.0,live
4.0,1040184,1,CHI,186262.0,Romario Williams,4.0,26,2019,CLB,0,186262,94.0,live
10.2,1040184,1,CHI,149359.0,Gyasi Zardes,4.0,26,2019,CLB,0,149359,94.0,live
6.9,1040185,1,CIN,193611.0,Bryan Acosta,3.0,26,2019,DAL,0,193611,94.0,live
4.9,1040185,1,CIN,82518.0,Eric Alexander,3.0,26,2019,DAL,0,82518,94.0,live
6.5,1040185,1,CIN,201913.0,Pablo Aranguiz,3.0,26,2019,DAL,0,201913,94.0,live
4.5,1040185,1,CIN,234384.0,Francis Atuahene,3.0,26,2019,DAL,0,234384,94.0,live
6.1,1040185,1,CIN,202376.0,Dominique Badji,4.0,26,2019,DAL,0,202376,94.0,live
9.7,1040185,1,CIN,177653.0,Michael Barrios,3.0,26,2019,DAL,0,177653,94.0,live
5.5,1040185,1,CIN,152589.0,Matheus Bressanelli,2.0,26,2019,DAL,0,152589,94.0,live
6.4,1040185,1,CIN,245035.0,Reggie Cannon,2.0,26,2019,DAL,0,245035,94.0,live
